ProjectNM,ProjectID,ParentProjectID,PathDSC,PathLevelNBR
default,30c4f0f2-6e66-464b-ae45-4d274253827d,,['30c4f0f2-6e66-464b-ae45-4d274253827d'],1
Marketing Reports,c3965f00-f2a7-429d-ba0a-db39fdf8864b,,['c3965f00-f2a7-429d-ba0a-db39fdf8864b'],1
Accommodations,068d0c5e-08f9-456a-bcce-42f6491f356b,,['068d0c5e-08f9-456a-bcce-42f6491f356b'],1
Ticketing & Hospitality Timeline,bd058def-2c6f-4932-8bc0-a7fc5635b360,,['bd058def-2c6f-4932-8bc0-a7fc5635b360'],1
AMP,55eb398c-9456-4831-bb67-88be244518a2,,['55eb398c-9456-4831-bb67-88be244518a2'],1
Insights & Analytics: Toolbox,5645c683-148b-4b4f-8062-2c6b266685c8,,['5645c683-148b-4b4f-8062-2c6b266685c8'],1
Samples,b4d8a924-c1e4-41d4-8bea-6396abf7c0c6,30c4f0f2-6e66-464b-ae45-4d274253827d,"['b4d8a924-c1e4-41d4-8bea-6396abf7c0c6', '30c4f0f2-6e66-464b-ae45-4d274253827d']",2
Site Admin,3f3a52d9-9ce5-432c-aaf8-71e018531cfe,30c4f0f2-6e66-464b-ae45-4d274253827d,"['3f3a52d9-9ce5-432c-aaf8-71e018531cfe', '30c4f0f2-6e66-464b-ae45-4d274253827d']",2
Data Sources: Marketing Reports,f627167f-ce95-4f75-888f-8106d9ef809a,c3965f00-f2a7-429d-ba0a-db39fdf8864b,"['f627167f-ce95-4f75-888f-8106d9ef809a', 'c3965f00-f2a7-429d-ba0a-db39fdf8864b']",2
Marketing Reports Staging,888eaf68-a441-42a9-8190-f54858e41eed,5645c683-148b-4b4f-8062-2c6b266685c8,"['888eaf68-a441-42a9-8190-f54858e41eed', '5645c683-148b-4b4f-8062-2c6b266685c8']",2
Data Sources: AMP,92840b28-1979-41ba-a923-fb730b2ae9e9,55eb398c-9456-4831-bb67-88be244518a2,"['92840b28-1979-41ba-a923-fb730b2ae9e9', '55eb398c-9456-4831-bb67-88be244518a2']",2
Data Sources: Toolbox,743d9dae-3d0e-4b90-b334-f11d158ef1c9,5645c683-148b-4b4f-8062-2c6b266685c8,"['743d9dae-3d0e-4b90-b334-f11d158ef1c9', '5645c683-148b-4b4f-8062-2c6b266685c8']",2
Utility Data Sources,aed320ba-5213-489b-9b34-14cc352108c9,743d9dae-3d0e-4b90-b334-f11d158ef1c9,"['aed320ba-5213-489b-9b34-14cc352108c9', '743d9dae-3d0e-4b90-b334-f11d158ef1c9', '5645c683-148b-4b4f-8062-2c6b266685c8']",3
Data Sources: Marketing Reports Staging,cf9e39b6-62a8-4eff-8f1b-05c89f3f966e,888eaf68-a441-42a9-8190-f54858e41eed,"['cf9e39b6-62a8-4eff-8f1b-05c89f3f966e', '888eaf68-a441-42a9-8190-f54858e41eed', '5645c683-148b-4b4f-8062-2c6b266685c8']",3
